ID,EMOJIREVEALER,EMOJICODE,KEY
Domination,\:Domination:,<:Domination:915358346524123167>,8100
Electrocute,\:Electrocute:,<:Electrocute:915358348281520138>,8112
Predator,\:Predator:,<:Predator:915358648560156672>,8124
DarkHarvest,\:DarkHarvest:,<:DarkHarvest:915358347857891369>,8128
HailOfBlades,\:HailOfBlades:,<:HailOfBlades:915358348222791732>,9923
CheapShot,\:CheapShot:,<:CheapShot:915358347186802708>,8126
TasteOfBlood,\:TasteOfBlood:,<:TasteOfBlood:915358347509788742>,8139
SuddenImpact,\:SuddenImpact:,<:SuddenImpact:915358648006508554>,8143
ZombieWard,\:ZombieWard:,<:ZombieWard:915358648241389619>,8136
GhostPoro,\:GhostPoro:,<:GhostPoro:915358347081961526>,8120
EyeballCollection,\:EyeballCollection:,<:EyeballCollection:915358347379740753>,8138
RavenousHunter,\:RavenousHunter:,<:RavenousHunter:915358647956152360>,8135
IngeniousHunter,\:IngeniousHunter:,<:IngeniousHunter:915358347656589393>,8134
RelentlessHunter,\:RelentlessHunter:,<:RelentlessHunter:915358648002301972>,8105
UltimateHunter,\:UltimateHunter:,<:UltimateHunter:915358647901642813>,8106
Inspiration,\:Inspiration:,<:Inspiration:915358346536689665>,8300
GlacialAugment,\:GlacialAugment:,<:GlacialAugment:915358348323487744>,8351
UnsealedSpellbook,\:UnsealedSpellbook:,<:UnsealedSpellbook:915358648501436416>,8360
FirstStrike,\:FirstStrike:,<:FirstStrike:915358348176658432>,8369
HextechFlashtraption,\:HextechFlashtraption:,<:HextechFlashtraption:915358347606237204>,8306
MagicalFootwear,\:MagicalFootwear:,<:MagicalFootwear:915358347518160957>,8304
PerfectTiming,\:PerfectTiming:,<:PerfectTiming:915358647930982400>,8313
FuturesMarket,\:FuturesMarket:,<:FuturesMarket:915358347337814018>,8321
MinionDematerializer,\:MinionDematerializer:,<:MinionDematerializer:915358347643994123>,8316
BiscuitDelivery,\:BiscuitDelivery:,<:BiscuitDelivery:915358346876428299>,8345
CosmicInsight,\:CosmicInsight:,<:CosmicInsight:915358347128090634>,8347
ApproachVelocity,\:ApproachVelocity:,<:ApproachVelocity:915358346977108038>,8410
TimeWarpTonic,\:TimeWarpTonic:,<:TimeWarpTonic:915358648182661180>,8352
Precision,\:Precision:,<:Precision:915358346918371369>,8000
PressTheAttack,\:PressTheAttack:,<:PressTheAttack:915358648648204338>,8005
LethalTempo,\:LethalTempo:,<:LethalTempo:915358348537380925>,8008
FleetFootwork,\:FleetFootwork:,<:FleetFootwork:915358348625473546>,8021
Conqueror,\:Conqueror:,<:Conqueror:915358348046659676>,8010
Overheal,\:Overheal:,<:Overheal:915358647838707783>,9101
Triumph,\:Triumph:,<:Triumph:915358648132325436>,9111
PresenceOfMind,\:PresenceOfMind:,<:PresenceOfMind:915358648094584873>,8009
LegendAlacrity,\:LegendAlacrity:,<:LegendAlacrity:915358347664949268>,9104
LegendTenacity,\:LegendTenacity:,<:LegendTenacity:915358347463655489>,9105
LegendBloodline,\:LegendBloodline:,<:LegendBloodline:915358347715285082>,9103
CoupDeGrace,\:CoupDeGrace:,<:CoupDeGrace:915358346817716276>,8014
CutDown,\:CutDown:,<:CutDown:915358347207786516>,8017
LastStand,\:LastStand:,<:LastStand:915358347648176209>,8299
Resolve,\:Resolve:,<:Resolve:915358346641539134>,8400
GraspOfTheUndying,\:GraspOfTheUndying:,<:GraspOfTheUndying:915358348466081892>,8437
Aftershock,\:Aftershock:,<:Aftershock:915358648107171841>,8439
Guardian,\:Guardian:,<:Guardian:915358348419952650>,8465
Demolish,\:Demolish:,<:Demolish:915358346838700063>,8446
FontOfLife,\:FontOfLife:,<:FontOfLife:915358347383935026>,8463
ShieldBash,\:ShieldBash:,<:ShieldBash:915358347908235294>,8401
Conditioning,\:Conditioning:,<:Conditioning:915358346805133396>,8429
SecondWind,\:SecondWind:,<:SecondWind:915358647750623263>,8444
BonePlating,\:BonePlating:,<:BonePlating:915358347438481489>,8473
Overgrowth,\:Overgrowth:,<:Overgrowth:915358347811758190>,8451
Revitalize,\:Revitalize:,<:Revitalize:915358648019066890>,8453
Unflinching,\:Unflinching:,<:Unflinching:915358648027447337>,8242
Sorcery,\:Sorcery:,<:Sorcery:915358346909978634>,8200
SummonAery,\:SummonAery:,<:SummonAery:915358648274927638>,8214
ArcaneComet,\:ArcaneComet:,<:ArcaneComet:915358348440895529>,8229
PhaseRush,\:PhaseRush:,<:PhaseRush:915358648052641792>,8230
NullifyingOrb,\:NullifyingOrb:,<:NullifyingOrb:915375099253784668>,8224
ManaflowBand,\:ManaflowBand:,<:ManaflowBand:915358347677548605>,8226
NimbusCloak,\:NimbusCloak:,<:NimbusCloak:915358347669168138>,8275
Transcendence,\:Transcendence:,<:Transcendence:915358647947755631>,8210
Celerity,\:Celerity:,<:Celerity:915358347119693894>,8234
AbsoluteFocus,\:AbsoluteFocus:,<:AbsoluteFocus:915358346947727370>,8233
Scorch,\:Scorch:,<:Scorch:915358647788388373>,8237
Waterwalking,\:Waterwalking:,<:Waterwalking:915358648291692586>,8232
GatheringStorm,\:GatheringStorm:,<:GatheringStorm:915358347111313419>,8236
StatModsHealthScalingIcon,\:StatModsHealthScalingIcon:,<:StatModsHealthScalingIcon:915406842119725126>,5001
StatModsArmorIcon,\:StatModsArmorIcon:,<:StatModsArmorIcon:915406842115530773>,5002
StatModsMagicResIcon,\:StatModsMagicResIcon:,<:StatModsMagicResIcon:915406841658351627>,5003
StatModsAttackSpeedIcon,\:StatModsAttackSpeedIcon:,<:StatModsAttackSpeedIcon:915406842224599101>,5005
StatModsCDRScalingIcon,\:StatModsCDRScalingIcon:,<:StatModsCDRScalingIcon:915406842119749672>,5007
StatModsAdaptiveForceIcon,\:StatModsAdaptiveForceIcon:,<:StatModsAdaptiveForceIcon:915406841830342717>,5008
